,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,wingsail,wingsail,wingsail,wingsail,wingsail,wingsail,wingsail,wingsail,carbody,carbody,carbody,carbody,carbody,carbody,carbody,carbody,carbody:Marker1,carbody:Marker1,carbody:Marker1,carbody:Marker2,carbody:Marker2,carbody:Marker2,carbody:Marker3,carbody:Marker3,carbody:Marker3,carbody:Marker4,carbody:Marker4,carbody:Marker4,carbody:Marker5,carbody:Marker5,carbody:Marker5,carbody:Marker6,carbody:Marker6,carbody:Marker6,wingsail:Marker1,wingsail:Marker1,wingsail:Marker1,wingsail:Marker2,wingsail:Marker2,wingsail:Marker2,wingsail:Marker3,wingsail:Marker3,wingsail:Marker3,wingsail:Marker4,wingsail:Marker4,wingsail:Marker4,wingsail:Marker5,wingsail:Marker5,wingsail:Marker5,wingsail:Marker6,wingsail:Marker6,wingsail:Marker6
,ID,"1F4A1780541C11EB96FB0B59A1A89C88","1F4A1780541C11EB96FB0B59A1A89C88","1F4A1780541C11EB96FB0B59A1A89C88","1F4A1780541C11EB96FB0B59A1A89C88","1F4A1780541C11EB96FB0B59A1A89C88","1F4A1780541C11EB96FB0B59A1A89C88","1F4A1780541C11EB96FB0B59A1A89C88","1F4A1780541C11EB96FB0B59A1A89C88","34C59488B1611EB96FB0B59A1A8AC88","34C59488B1611EB96FB0B59A1A8AC88","34C59488B1611EB96FB0B59A1A8AC88","34C59488B1611EB96FB0B59A1A8AC88","34C59488B1611EB96FB0B59A1A8AC88","34C59488B1611EB96FB0B59A1A8AC88","34C59488B1611EB96FB0B59A1A8AC88","34C59488B1611EB96FB0B59A1A8AC88","4968DB848EDB11EB96FB0B59A1A8AC88","4968DB848EDB11EB96FB0B59A1A8AC88","4968DB848EDB11EB96FB0B59A1A8AC88","4968DB858EDB11EB96FB0B59A1A8AC88","4968DB858EDB11EB96FB0B59A1A8AC88","4968DB858EDB11EB96FB0B59A1A8AC88","FCC08A0","FCC08A0","FCC08A0","4968DB308EDB11EB96FB0B59A1A8AC88","4968DB308EDB11EB96FB0B59A1A8AC88","4968DB308EDB11EB96FB0B59A1A8AC88","FCBE3A0","FCBE3A0","FCBE3A0","FCBE6C0","FCBE6C0","FCBE6C0","FCC0A60","FCC0A60","FCC0A60","FCBE870","FCBE870","FCBE870","FCBD820","FCBD820","FCBD820","FCC09D0","FCC09D0","FCC09D0","4F6146118EDB11EB96FB0B59A1A8AC88","4F6146118EDB11EB96FB0B59A1A8AC88","4F6146118EDB11EB96FB0B59A1A8AC88","FCC0790","FCC0790","FCC0790"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
6,0.050000,-0.184944,0.901318,-0.087731,-0.381739,-2.197220,0.379557,6.150641,0.001086,-0.016974,0.904184,0.002276,-0.426800,-2.131502,0.096071,6.188476,0.001609,,,,,,,-2.312370,0.075876,6.151094,-2.364629,0.074816,6.209503,-1.769445,0.182836,6.472253,-1.976887,0.080280,6.317764,-2.359405,0.106240,6.116467,-2.058486,0.117718,6.175797,-2.113668,0.918404,6.172055,-2.379327,0.905658,6.117662,,,,-2.142199,0.114269,6.187686
7,0.058333,-0.184539,0.901553,-0.087232,-0.381495,-2.197280,0.379318,6.150848,0.000843,-0.014152,0.904217,0.000001,-0.426840,-2.131526,0.095000,6.188670,0.001174,,,,,,,-2.313877,0.074371,6.150940,-2.364159,0.074860,6.209868,-1.768993,0.182799,6.472663,-1.976383,0.080307,6.318247,-2.358882,0.106321,6.116821,-2.060248,0.116607,6.175869,-2.113162,0.918456,6.172626,-2.378816,0.905642,6.117972,,,,-2.141682,0.114281,6.188100
8,0.066667,-0.184852,0.901516,-0.087827,-0.381293,-2.196228,0.379602,6.151482,0.001114,-0.014181,0.904218,0.000270,-0.426837,-2.131149,0.094917,6.188968,0.000563,,,,,,,-2.313426,0.074413,6.151340,-2.363642,0.074925,6.210283,-1.769069,0.181679,6.472179,-1.975886,0.080339,6.318731,-2.358394,0.106451,6.117311,-2.057599,0.117720,6.176787,-2.112608,0.918375,6.173058,-2.378314,0.905699,6.118177,,,,-2.141196,0.114302,6.188555
9,0.075000,-0.184397,0.902210,-0.087215,-0.380011,-2.196127,0.379663,6.152249,0.001530,-0.014113,0.904294,0.000213,-0.426677,-2.130676,0.094943,6.189402,0.000507,,,,,,,-2.313018,0.074448,6.151711,-2.363120,0.074969,6.210617,-1.768713,0.181723,6.472717,-1.975417,0.080385,6.319263,-2.357883,0.106539,6.117661,-2.059263,0.116448,6.176802,-2.111408,0.920709,6.178253,-2.377661,0.905748,6.118352,,,,-2.140751,0.114335,6.189027
10,0.083333,-0.184297,0.902451,-0.087397,-0.379445,-2.195545,0.379584,6.152667,0.001527,-0.016091,0.904233,0.001320,-0.426734,-2.129859,0.095571,6.189921,0.001103,,,,,,,-2.312535,0.074487,6.152143,-2.362658,0.075061,6.210991,-1.768334,0.181620,6.473036,-1.972791,0.081408,6.320120,-2.357333,0.106477,6.117821,-2.058631,0.116377,6.177494,-2.110855,0.920665,6.178603,-2.376990,0.905606,6.118526,,,,-2.140299,0.114278,6.189537
11,0.091667,-0.184251,0.902836,-0.087480,-0.378531,-2.194925,0.379546,6.153176,0.001497,-0.015775,0.904307,0.001116,-0.426590,-2.129361,0.095480,6.190382,0.001078,,,,,,,-2.311990,0.074467,6.152617,-2.362142,0.075057,6.211349,-1.767948,0.181547,6.473522,-1.972303,0.081334,6.320650,-2.356589,0.106370,6.118148,-2.058152,0.116365,6.178144,-2.110312,0.920517,6.179194,-2.376295,0.905625,6.118727,,,,-2.139692,0.114225,6.190091
12,0.100000,-0.184736,0.903276,-0.088021,-0.377117,-2.193764,0.379980,6.154035,0.001541,-0.016241,0.904307,0.001476,-0.426572,-2.128748,0.095573,6.190942,0.001003,,,,,,,-2.311297,0.074524,6.153329,-2.361595,0.075014,6.211717,-1.767391,0.181583,6.474216,-1.971847,0.081328,6.321148,-2.355982,0.106389,6.118303,-2.055445,0.117542,6.179174,-2.109736,0.920526,6.179835,-2.375686,0.905668,6.118916,,,,-2.139183,0.114384,6.191063
13,0.108333,-0.184268,0.902723,-0.088587,-0.378536,-2.193402,0.379621,6.153820,0.001076,-0.016247,0.904280,0.001612,-0.426629,-2.128139,0.095662,6.191612,0.000933,,,,,,,-2.310692,0.074560,6.153795,-2.360951,0.075253,6.212746,-1.766767,0.181577,6.474901,-1.971335,0.081340,6.321656,-2.355422,0.106528,6.118714,-2.055089,0.117712,6.180128,-2.109738,0.918345,6.175527,-2.375002,0.905740,6.119123,,,,-2.138661,0.114421,6.191542
14,0.116667,-0.183586,0.902672,-0.088135,-0.379094,-2.192451,0.379905,6.154408,0.001199,-0.012441,0.904227,-0.000516,-0.426870,-2.128171,0.094695,6.191671,0.000568,,,,,,,-2.310120,0.074634,6.154276,-2.360379,0.075341,6.213167,-1.766706,0.181150,6.474106,-1.972873,0.080411,6.321794,-2.354843,0.106656,6.119099,-2.054532,0.117766,6.180714,-2.109096,0.918421,6.176070,-2.372252,0.906721,6.120090,,,,-2.138145,0.114495,6.192017
15,0.125000,-0.183664,0.902881,-0.088135,-0.378557,-2.191749,0.379937,6.154973,0.001262,-0.013768,0.904185,0.000019,-0.426919,-2.127216,0.095237,6.192405,0.001545,,,,,,,-2.309532,0.074601,6.154927,-2.359793,0.075413,6.213652,-1.766149,0.181194,6.474599,-1.970140,0.081562,6.322981,-2.354236,0.106633,6.119417,-2.053678,0.117815,6.181345,-2.108479,0.918603,6.176971,-2.371587,0.906792,6.120571,,,,-2.137526,0.114217,6.192370
