  alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  76.500   0.2791   0.37314   0.37228  -0.2552   0.0042   1.0000
  77.000   0.2708   0.36835   0.36751  -0.2557   0.0042   1.0000
  77.250   0.2667   0.36577   0.36494  -0.2560   0.0041   1.0000
  77.500   0.2626   0.36315   0.36233  -0.2563   0.0041   1.0000
  77.750   0.2585   0.36054   0.35973  -0.2566   0.0040   1.0000
  78.000   0.2544   0.35788   0.35709  -0.2569   0.0039   1.0000
  78.250   0.2503   0.35528   0.35450  -0.2571   0.0038   1.0000
  78.500   0.2462   0.35263   0.35185  -0.2574   0.0037   1.0000
  78.750   0.2422   0.34999   0.34922  -0.2576   0.0036   1.0000
  79.000   0.2381   0.34731   0.34656  -0.2579   0.0035   1.0000
  79.250   0.2341   0.34466   0.34391  -0.2581   0.0034   1.0000
  79.500   0.2300   0.34198   0.34125  -0.2583   0.0033   1.0000
  79.750   0.2260   0.33932   0.33859  -0.2585   0.0032   1.0000
  80.000   0.2220   0.33665   0.33593  -0.2587   0.0031   1.0000
